f,A
817,-103.32
818,-105.98
819,-103.39
82,-37.345
820,-103.42
821,-105.17
822,-109.57
823,-108.67
824,-110.48
825,-115.14
826,-115.97
827,-114.87
828,-114.12
829,-110.48
83,-38.999
830,-111.06
831,-106.8
832,-104.5
833,-103.92
834,-105.87
835,-103.6
836,-102.21
837,-102.74
838,-105.36
839,-104.73
84,-39.731
840,-103.93
841,-105.3
842,-109.11
843,-111.03
844,-112.57
845,-116.31
846,-116.35
847,-115.44
848,-112.05
849,-108.79
85,-37.606
850,-108.61
851,-106.97
852,-103.89
853,-103
854,-104.19
855,-104.59
856,-102.28
857,-102.23
858,-104.13
859,-105.9
86,-37.338
860,-104.46
861,-105.4
862,-108.43
863,-112.29
864,-114.29
865,-115.38
866,-116.04
867,-117.62
868,-112.04
869,-108.43
